7.5kl Type A New Build — FLOOR WHITEBOARD,,,,,,,,,,,,,
"Updated: ___/___/___  |  Week of Build shown in () — based on 4-week / 20-day target",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STAGE,Lead,Target Hrs,Week Target,JOB A — No.,JOB A — Status,JOB A — Actual Hrs,JOB A — Var,JOB B — No.,JOB B — Status,JOB B — Actual Hrs,JOB B — Var,JOB C — No.,JOB C — Status,JOB C — Actual Hrs,JOB C — Var
1. Inwards Inspection,M,2,Week 1,,,,,,,,,,,
2. Chassis Preparation,M,4,Week 1,,,,,,,,,,,
3. Build Step 1 ★,M,75,Week 1–2,,,,,,,,,,,
4. Cabin Pre-wiring,E,14,Week 2 (parallel),,,,,,,,,,,
5. Metal Fabrication,M,20,Week 2,,,,,,,,,,,
6. Cabinet Works ★,M+E,80,Week 2–3,,,,,,,,,,,
7. Paint,M,10,Week 3,,,,,,,,,,,
8. Cabin Fitout,M,3,Week 3,,,,,,,,,,,
9. Chassis Fitout Step 2 ★,M,30,Week 3,,,,,,,,,,,
10. Fabricate Pipework ★,M,22,Week 3,,,,,,,,,,,
11. Final Electrical,E,22,Week 4,,,,,,,,,,,
12. Final Scheduling,SUP,2,Week 4,,,,,,,,,,,
13. Final Works,M+E,60,Week 4,,,,,,,,,,,
14. Testing & Handover ★,SUP,3,Week 4,,,,,,,,,,,
,,,,,,,,,,,,,,
TOTAL MECH,,311,,,,,,,,,,,,
TOTAL ELEC,,51,,,,,,,,,,,,
TOTAL,,362,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATUS CODES:,,,,,,,,,,,,,
NS = Not Started,,,,,,,,,,,,,
IP = In Progress,,,,,,,,,,,,,
HOLD = Waiting for sign-off or external (hydraulics / VSB),,,,,,,,,,,,,
DONE = Complete,,,,,,,,,,,,,
,,,,,,,,,,,,,,
VAR column: Actual minus Target — positive = over budget,,,,,,,,,,,,,
★ = Supervisor sign-off required before next stage,,,,,,,,,,,,,
M = Mechanical  |  E = Electrical  |  SUP = Supervisor  |  M+E = Both,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NOTE — 4-WEEK TARGET:,,,,,,,,,,,,,
"Stage 3 (75h) and Stage 6 (80h) together = 155h. At 8hr days that is ~19 days alone.",,,,,,,,,,,,
"To hit 4 weeks: run 10-hour days on Stage 3 and Stage 6, OR use a second mechanic on those two stages.",,,,,,,,,,,,
"Electrical (Stage 4) runs PARALLEL to Stage 3 — schedule accordingly.",,,,,,,,,,,,
